GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "54000","West Virginia",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",4944141,5511837,6051556,6700698,7333218,8128736,9186126,10241128,11457287,12752672,14222561,15632663,17051166,18069361,18550227,19940683,20765614,21261444,21785013,23237559,24600986,26186226,27308245,29404386,30498832,31820522,32894704,34208841,35630179,37135356,38151689,40353046,42783818,44239096,44869797,46477004,48861015,52193670,54128768,57523713,57948920,59927684,63349207,65206189,64784975,66863541,67997283,67617856,70218368,73808880
 "54000","West Virginia",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",4913302,5486070,6026449,6670050,7289111,8100321,9172260,10237816,11459428,12740500,14205684,15624231,17073958,18098168,18567217,19919501,20746151,21215812,21780660,23234895,24570435,26144160,27275685,29347671,30439450,31765068,32876729,34205585,35636486,37141260,38173703,40344032,42764032,44279629,44890517,46452920,48855514,52223131,54190870,57557709,57988243,59960679,63345481,65214803,64759411,66851017,68012260,67656576,70224647,73876040
 "54000","West Virginia",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",30839,25767,25107,30648,44107,28415,13866,3312,-2141,12172,16877,8432,-22792,-28807,-16990,21182,19463,45632,4353,2664,30551,42066,32560,56715,59382,55454,17975,3256,-6307,-5904,-22014,9014,19786,-40533,-20720,24084,5501,-29461,-62102,-33996,-39323,-32995,3726,-8614,25564,12524,-14977,-38720,-6279,-67160
 "54000","West Virginia",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854214,1856074,1856764,1853873,1849467,1841996,1830929,1817048,1805832
 "54000","West Virginia",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2832,3156,3418,3729,4062,4481,4991,5455,6012,6641,7335,8011,8726,9268,9537,10344,10890,11295,11728,12697,13618,14608,15182,16277,16780,17480,18037,18767,19587,20453,21057,22331,23749,24504,24759,25587,26839,28554,29513,31258,31361,32320,34131,35118,34946,36153,36915,36931,38644,40873
 "54000","West Virginia",5,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",4173345,4567817,4954108,5474485,5928148,6513675,7240391,8154161,9215356,10301395,11370381,12085492,12760919,13097919,12968021,14034160,14568500,14758277,15160082,16278383,16957114,18147757,18782216,19981593,20767488,21853206,22433881,23089726,23975949,24934470,25907045,27406301,28659645,29420594,30021402,31555657,33323165,35267633,35549381,37155686,36978700,38140579,40292832,41537763,41645125,42214403,42165642,41197322,43196513,46191187
 "54000","West Virginia",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",323431,349685,394920,454649,567826,647589,710757,818832,917593,1058367,1212117,1310531,1483588,1571511,1570721,1737026,1827922,1921373,1992005,2190267,2309620,2502353,2662533,2839568,3058984,3205308,3351520,3454383,3548056,3720719,3826208,4141034,4114559,4061066,4253249,4381327,4570932,4626997,4508075,4545899,4598330,4701860,4381205,4499170,5048561,5202580,5256161,5283882,5525998,5819309
 "54000","West Virginia",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",142838,155038,173692,198740,244567,277962,308308,347281,382795,432875,503163,545696,625461,663588,655701,708138,769115,812463,848214,941398,1016011,1092446,1156771,1214268,1271219,1361382,1428790,1458561,1506546,1544870,1604918,1658166,1754041,1777464,1859290,1959810,2074978,2216444,2337051,2466577,2474461,2532033,2116295,2162610,2720259,2816210,2843227,2858957,3038626,3231250
 "54000","West Virginia",5,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",180593,194647,221228,255909,323259,369627,402449,471551,534798,625492,708954,764835,858127,907923,915020,1028888,1058807,1108910,1143791,1248869,1293609,1409907,1505762,1625300,1787765,1843926,1922730,1995822,2041510,2175849,2221290,2482868,2360518,2283602,2393959,2421517,2495954,2410553,2171024,2079322,2123869,2169827,2264910,2336560,2328302,2386370,2412934,2424925,2487372,2588059
 "54000","West Virginia",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-73255,-75085,-90351,-102475,-104949,-119499,-124430,-152524,-185047,-214500,-227046,-249993,-226731,-169860,-145077,-112395,-107393,-85597,-25753,8070,95027,92065,74295,133929,131571,180606,223668,234396,392467,438830,500815,625245,772281,816823,961222,1090186,1289302,1336431,1485513,1440814,1328214,1458926,1467494,1214866,1255831,1469444,1539050,1702281,1636259,1221545
