County,Year,NumTrans,TotMME,TotDU
Barbour,2006,1044.0,3220148.7452249974,508100.0
Barbour,2007,1310.0,4126326.8624999966,625150.0
Barbour,2008,1632.0,5043762.937499998,766200.0
Barbour,2009,1823.0,6325642.424999996,869860.0
Barbour,2010,2137.0,7092896.804999989,945110.0
Barbour,2011,2174.0,7098865.417499989,969850.0
Barbour,2012,2421.0,7283659.559999986,995980.0
Barbour,2013,2681.0,6761015.340000006,892280.0
Barbour,2014,2334.0,7401617.969999993,877940.0
Berkeley,2006,8340.0,41103478.17499965,3108500.0
Berkeley,2007,8837.0,42709673.606112204,3366050.0
Berkeley,2008,10658.0,56355619.66099871,4120120.0
Berkeley,2009,11975.0,68159237.86522348,4780550.0
Berkeley,2010,13424.0,75014694.94136116,5223490.0
Berkeley,2011,13578.0,71057015.44567372,5387020.0
Berkeley,2012,14521.0,76958788.67681149,5641710.0
Berkeley,2013,15337.0,74110986.3715863,5468100.0
Berkeley,2014,11987.0,72884422.45203707,5296700.0
Boone,2006,3278.0,14266703.31600011,2186500.0
Boone,2007,3709.0,15603826.744750097,2295660.0
Boone,2008,4126.0,20309908.624225087,2695220.0
Boone,2009,4245.0,21415253.41567506,2751280.0
Boone,2010,4244.0,22973962.764300037,2884440.0
Boone,2011,4491.0,23933374.70362506,2962350.0
Boone,2012,4547.0,25678045.643850073,2984490.0
Boone,2013,5109.0,27118744.72589998,2855210.0
Boone,2014,4254.0,27827398.223400027,2632590.0
Braxton,2006,1509.0,5735351.399999989,721100.0
Braxton,2007,1757.0,5839545.329999985,743460.0
Braxton,2008,1867.0,6538387.571999978,822400.0
Braxton,2009,1873.0,6454522.027499995,873430.0
Braxton,2010,2270.0,7297228.049999989,913710.0
Braxton,2011,2278.0,7662453.517499985,920260.0
Braxton,2012,2075.0,7233645.629999982,842080.0
Braxton,2013,1990.0,7325700.569999976,848040.0
Braxton,2014,1561.0,7375582.619999998,827490.0
Brooke,2006,2568.0,9415160.291812517,1038320.0
Brooke,2007,2849.0,10525703.147037536,1184510.0
Brooke,2008,3172.0,14317311.375450065,1310140.0
Brooke,2009,3156.0,19253742.158175066,1480920.0
Brooke,2010,3622.0,18219249.4206751,1521570.0
Brooke,2011,3343.0,13579465.335000081,1449070.0
Brooke,2012,3159.0,14445754.511362568,1411650.0
Brooke,2013,3120.0,14797517.088862574,1385520.0
Brooke,2014,2785.0,13194262.853175033,1281120.0
Cabell,2006,16277.0,78309786.95931044,7709000.0
Cabell,2007,18680.0,89368838.70502362,8984920.0
Cabell,2008,18977.0,96137146.25469919,9641290.0
Cabell,2009,19770.0,106903303.31021291,10420370.0
Cabell,2010,19709.0,104440409.15339984,9923700.0
Cabell,2011,18647.0,95368879.1051998,9841420.0
Cabell,2012,18366.0,77305821.55882363,8692270.0
Cabell,2013,18938.0,72257517.03566183,7928900.0
Cabell,2014,14790.0,81783985.49999958,7925920.0
Calhoun,2006,330.0,538596.7875,102300.0
Calhoun,2007,485.0,817136.7150000008,152730.0
Calhoun,2008,381.0,721364.6288625003,138900.0
Calhoun,2009,385.0,868602.6374999998,170700.0
Calhoun,2010,431.0,960628.3049999999,183560.0
Calhoun,2011,478.0,1064300.0699999996,208890.0
Calhoun,2012,512.0,1041701.8425,202150.0
Calhoun,2013,452.0,1040232.3075000001,200660.0
Calhoun,2014,410.0,1363562.9549999994,223310.0
Clay,2006,610.0,1388491.0500000017,238900.0
Clay,2007,711.0,1769620.3874999997,291900.0
Clay,2008,809.0,1914735.525000002,319300.0
Clay,2009,850.0,2375595.0000000023,382600.0
Clay,2010,943.0,2641634.954999998,397710.0
Clay,2011,949.0,2528350.1774999984,371830.0
Clay,2012,843.0,2224705.6949999994,337120.0
Clay,2013,682.0,2308625.4749999954,323600.0
Clay,2014,736.0,3370114.604999998,375410.0
Doddridge,2006,191.0,768796.9125000001,111900.0
Doddridge,2007,212.0,666715.3875000001,112600.0
Doddridge,2008,342.0,816384.300000001,114700.0
Doddridge,2009,395.0,1111440.3150000009,142130.0
Doddridge,2010,419.0,1089210.6000000008,150400.0
Doddridge,2011,459.0,1091208.6750000003,158300.0
Doddridge,2012,475.0,1301211.2175000014,171760.0
Doddridge,2013,452.0,1376998.5750000011,174500.0
Doddridge,2014,490.0,1141271.3999999994,153100.0
Fayette,2006,5938.0,12734648.197500208,2109700.0
Fayette,2007,6727.0,15799587.70300038,2602580.0
Fayette,2008,7468.0,18605483.846500218,2900860.0
Fayette,2009,7243.0,20761571.49772508,3120170.0
