County,Year,UnemployedRate
Barbour,2006,5.7
Barbour,2007,5.5
Barbour,2008,4.9
Barbour,2009,8.7
Barbour,2010,10.0
Barbour,2011,9.4
Barbour,2012,8.3
Barbour,2013,7.1
Barbour,2014,6.8
Berkeley,2006,4.2
Berkeley,2007,4.1
Berkeley,2008,4.7
Berkeley,2009,8.5
Berkeley,2010,8.6
Berkeley,2011,7.7
Berkeley,2012,6.7
Berkeley,2013,5.6
Berkeley,2014,5.5
Boone,2006,4.7
Boone,2007,4.7
Boone,2008,3.9
Boone,2009,7.8
Boone,2010,8.8
Boone,2011,8.1
Boone,2012,10.4
Boone,2013,9.6
Boone,2014,9.3
Braxton,2006,5.5
Braxton,2007,5.5
Braxton,2008,5.2
Braxton,2009,8.2
Braxton,2010,11.1
Braxton,2011,11.1
Braxton,2012,10.8
Braxton,2013,10.3
Braxton,2014,9.5
Brooke,2006,7.4
Brooke,2007,5.9
Brooke,2008,5.7
Brooke,2009,11.0
Brooke,2010,11.4
Brooke,2011,9.8
Brooke,2012,8.7
Brooke,2013,7.7
Brooke,2014,7.3
Cabell,2006,4.6
Cabell,2007,4.1
Cabell,2008,3.9
Cabell,2009,6.7
Cabell,2010,7.2
Cabell,2011,7.1
Cabell,2012,6.5
Cabell,2013,5.8
Cabell,2014,5.5
Calhoun,2006,7.2
Calhoun,2007,7.0
Calhoun,2008,6.8
Calhoun,2009,12.8
Calhoun,2010,14.0
Calhoun,2011,12.7
Calhoun,2012,11.1
Calhoun,2013,10.1
Calhoun,2014,9.7
Clay,2006,6.9
Clay,2007,7.0
Clay,2008,6.3
Clay,2009,11.2
Clay,2010,14.1
Clay,2011,12.3
Clay,2012,12.0
Clay,2013,12.0
Clay,2014,10.9
Doddridge,2006,5.2
Doddridge,2007,4.9
Doddridge,2008,4.9
Doddridge,2009,7.8
Doddridge,2010,7.1
Doddridge,2011,7.1
Doddridge,2012,6.3
Doddridge,2013,5.3
Doddridge,2014,5.0
Fayette,2006,5.6
Fayette,2007,5.4
Fayette,2008,4.6
Fayette,2009,8.4
Fayette,2010,10.0
Fayette,2011,9.0
Fayette,2012,8.7
Fayette,2013,8.6
Fayette,2014,8.4
Gilmer,2006,4.7
Gilmer,2007,4.1
Gilmer,2008,3.8
Gilmer,2009,6.6
Gilmer,2010,8.9
Gilmer,2011,8.1
Gilmer,2012,7.8
Gilmer,2013,6.7
Gilmer,2014,6.5
Grant,2006,6.0
Grant,2007,5.2
Grant,2008,5.3
Grant,2009,9.9
Grant,2010,9.8
Grant,2011,9.0
Grant,2012,8.8
Grant,2013,8.2
Grant,2014,7.7
Greenbrier,2006,6.2
Greenbrier,2007,6.1
Greenbrier,2008,5.5
Greenbrier,2009,9.3
Greenbrier,2010,8.7
Greenbrier,2011,8.3
Greenbrier,2012,8.0
Greenbrier,2013,7.4
Greenbrier,2014,6.9
Hampshire,2006,4.0
Hampshire,2007,3.6
Hampshire,2008,4.3
Hampshire,2009,8.2
Hampshire,2010,9.1
Hampshire,2011,8.8
Hampshire,2012,7.9
Hampshire,2013,7.0
Hampshire,2014,6.3
Hancock,2006,7.6
Hancock,2007,5.8
Hancock,2008,5.8
Hancock,2009,11.2
Hancock,2010,12.1
Hancock,2011,10.6
Hancock,2012,9.3
Hancock,2013,8.1
Hancock,2014,8.0
