County,Year,PerCapIncome
Barbour,2006,22926.0
Barbour,2007,24086.0
Barbour,2008,25464.0
Barbour,2009,25686.0
Barbour,2010,26381.0
Barbour,2011,27633.0
Barbour,2012,28732.0
Barbour,2013,28330.0
Barbour,2014,28894.0
Berkeley,2006,30667.0
Berkeley,2007,31537.0
Berkeley,2008,32578.0
Berkeley,2009,32409.0
Berkeley,2010,33317.0
Berkeley,2011,34585.0
Berkeley,2012,35535.0
Berkeley,2013,35462.0
Berkeley,2014,36281.0
Boone,2006,24714.0
Boone,2007,26039.0
Boone,2008,29376.0
Boone,2009,29089.0
Boone,2010,30129.0
Boone,2011,32655.0
Boone,2012,32166.0
Boone,2013,30537.0
Boone,2014,30654.0
Braxton,2006,21297.0
Braxton,2007,22610.0
Braxton,2008,24460.0
Braxton,2009,24781.0
Braxton,2010,25804.0
Braxton,2011,27832.0
Braxton,2012,29699.0
Braxton,2013,28887.0
Braxton,2014,29587.0
Brooke,2006,27274.0
Brooke,2007,28431.0
Brooke,2008,30384.0
Brooke,2009,29910.0
Brooke,2010,30972.0
Brooke,2011,33178.0
Brooke,2012,34500.0
Brooke,2013,34712.0
Brooke,2014,36805.0
Cabell,2006,29827.0
Cabell,2007,31573.0
Cabell,2008,33616.0
Cabell,2009,33523.0
Cabell,2010,34357.0
Cabell,2011,35671.0
Cabell,2012,36477.0
Cabell,2013,36187.0
Cabell,2014,37677.0
Calhoun,2006,20188.0
Calhoun,2007,20555.0
Calhoun,2008,23166.0
Calhoun,2009,24047.0
Calhoun,2010,24842.0
Calhoun,2011,26648.0
Calhoun,2012,29701.0
Calhoun,2013,28721.0
Calhoun,2014,29345.0
Clay,2006,20728.0
Clay,2007,21725.0
Clay,2008,23866.0
Clay,2009,24839.0
Clay,2010,25310.0
Clay,2011,27395.0
Clay,2012,28143.0
Clay,2013,27498.0
Clay,2014,28882.0
Doddridge,2006,15684.0
Doddridge,2007,15094.0
Doddridge,2008,15896.0
Doddridge,2009,16231.0
Doddridge,2010,17036.0
Doddridge,2011,19017.0
Doddridge,2012,20104.0
Doddridge,2013,20628.0
Doddridge,2014,25590.0
Fayette,2006,23801.0
Fayette,2007,24882.0
Fayette,2008,26642.0
Fayette,2009,26849.0
Fayette,2010,27506.0
Fayette,2011,29669.0
Fayette,2012,30926.0
Fayette,2013,30353.0
Fayette,2014,31043.0
Gilmer,2006,18764.0
Gilmer,2007,18763.0
Gilmer,2008,19492.0
Gilmer,2009,19541.0
Gilmer,2010,20062.0
Gilmer,2011,22264.0
Gilmer,2012,24132.0
Gilmer,2013,24992.0
Gilmer,2014,26801.0
Grant,2006,24645.0
Grant,2007,25977.0
Grant,2008,27163.0
Grant,2009,27763.0
Grant,2010,28255.0
Grant,2011,29781.0
Grant,2012,30726.0
Grant,2013,31745.0
Grant,2014,33944.0
Greenbrier,2006,27512.0
Greenbrier,2007,27565.0
Greenbrier,2008,29060.0
Greenbrier,2009,28804.0
Greenbrier,2010,30201.0
Greenbrier,2011,32945.0
Greenbrier,2012,31930.0
Greenbrier,2013,32742.0
Greenbrier,2014,34231.0
Hampshire,2006,24942.0
Hampshire,2007,25154.0
Hampshire,2008,26262.0
Hampshire,2009,26013.0
Hampshire,2010,27264.0
Hampshire,2011,28459.0
Hampshire,2012,28910.0
Hampshire,2013,29332.0
Hampshire,2014,30057.0
Hancock,2006,28483.0
Hancock,2007,30182.0
Hancock,2008,31912.0
Hancock,2009,31366.0
Hancock,2010,32705.0
Hancock,2011,34382.0
Hancock,2012,35708.0
Hancock,2013,35978.0
Hancock,2014,36825.0
Hardy,2006,22416.0
Hardy,2007,22570.0
Hardy,2008,23529.0
Hardy,2009,24086.0
Hardy,2010,25548.0
Hardy,2011,27266.0
Hardy,2012,27941.0
Hardy,2013,28913.0
Hardy,2014,29629.0
Harrison,2006,34047.0
Harrison,2007,33854.0
Harrison,2008,36247.0
Harrison,2009,35667.0
Harrison,2010,37237.0
Harrison,2011,40148.0
Harrison,2012,40904.0
Harrison,2013,41166.0
Harrison,2014,43655.0
Jackson,2006,25430.0
Jackson,2007,27020.0
Jackson,2008,29075.0
Jackson,2009,28839.0
Jackson,2010,27053.0
Jackson,2011,30379.0
Jackson,2012,32071.0
Jackson,2013,32597.0
Jackson,2014,33806.0
Jefferson,2006,36482.0
Jefferson,2007,37946.0
Jefferson,2008,38761.0
Jefferson,2009,38292.0
Jefferson,2010,39541.0
Jefferson,2011,42107.0
Jefferson,2012,43629.0
Jefferson,2013,43327.0
Jefferson,2014,44198.0
Kanawha,2006,35524.0
Kanawha,2007,36660.0
Kanawha,2008,38494.0
Kanawha,2009,38355.0
Kanawha,2010,39579.0
Kanawha,2011,41111.0
Kanawha,2012,42225.0
Kanawha,2013,41873.0
Kanawha,2014,43398.0
Lewis,2006,24849.0
Lewis,2007,25633.0
Lewis,2008,27483.0
Lewis,2009,28354.0
Lewis,2010,31272.0
Lewis,2011,33670.0
Lewis,2012,35430.0
Lewis,2013,35380.0
Lewis,2014,36791.0
Lincoln,2006,21099.0
Lincoln,2007,22318.0
Lincoln,2008,24755.0
Lincoln,2009,24282.0
Lincoln,2010,25555.0
Lincoln,2011,27488.0
Lincoln,2012,27849.0
Lincoln,2013,27159.0
Lincoln,2014,27643.0
Logan,2006,26758.0
Logan,2007,27685.0
Logan,2008,30641.0
Logan,2009,30775.0
Logan,2010,31658.0
Logan,2011,34000.0
Logan,2012,33831.0
Logan,2013,32837.0
Logan,2014,32521.0
McDowell,2006,19511.0
McDowell,2007,20333.0
McDowell,2008,22368.0
McDowell,2009,23339.0
McDowell,2010,24902.0
McDowell,2011,27580.0
McDowell,2012,29049.0
McDowell,2013,28437.0
McDowell,2014,27567.0
Marion,2006,29272.0
Marion,2007,30236.0
Marion,2008,32170.0
Marion,2009,33103.0
Marion,2010,34715.0
Marion,2011,36082.0
