County,Year,Suicides,PopCDC
Barbour,2006,3.0,15922.0
Barbour,2007,2.0,16036.0
Barbour,2008,1.0,16241.0
Barbour,2009,2.0,16479.0
Barbour,2010,0.0,16589.0
Barbour,2011,2.0,16520.0
Barbour,2012,3.0,16493.0
Barbour,2013,4.0,16770.0
Barbour,2014,4.0,16766.0
Berkeley,2006,13.0,96318.0
Berkeley,2007,12.0,99132.0
Berkeley,2008,9.0,101629.0
Berkeley,2009,10.0,102830.0
Berkeley,2010,11.0,104169.0
Berkeley,2011,21.0,105750.0
Berkeley,2012,20.0,107098.0
Berkeley,2013,17.0,108706.0
Berkeley,2014,27.0,110497.0
Boone,2006,4.0,25101.0
Boone,2007,3.0,25115.0
Boone,2008,3.0,24794.0
Boone,2009,5.0,24766.0
Boone,2010,4.0,24629.0
Boone,2011,6.0,24444.0
Boone,2012,4.0,24478.0
Boone,2013,7.0,24224.0
Boone,2014,5.0,23714.0
Braxton,2006,1.0,14585.0
Braxton,2007,0.0,14585.0
Braxton,2008,2.0,14587.0
Braxton,2009,1.0,14512.0
Braxton,2010,1.0,14523.0
Braxton,2011,6.0,14485.0
Braxton,2012,2.0,14468.0
Braxton,2013,3.0,14502.0
Braxton,2014,1.0,14463.0
Brooke,2006,3.0,24399.0
Brooke,2007,9.0,24235.0
Brooke,2008,4.0,24168.0
Brooke,2009,2.0,24153.0
Brooke,2010,5.0,24069.0
Brooke,2011,7.0,23844.0
Brooke,2012,5.0,23853.0
Brooke,2013,8.0,23737.0
Brooke,2014,5.0,23530.0
Cabell,2006,10.0,94943.0
Cabell,2007,13.0,95059.0
Cabell,2008,15.0,95209.0
Cabell,2009,10.0,96040.0
Cabell,2010,14.0,96319.0
Cabell,2011,16.0,96653.0
Cabell,2012,12.0,96974.0
Cabell,2013,7.0,97133.0
Cabell,2014,19.0,97109.0
Calhoun,2006,1.0,7531.0
Calhoun,2007,2.0,7588.0
Calhoun,2008,1.0,7621.0
Calhoun,2009,2.0,7560.0
Calhoun,2010,0.0,7627.0
Calhoun,2011,1.0,7652.0
Calhoun,2012,2.0,7607.0
Calhoun,2013,3.0,7564.0
Calhoun,2014,3.0,7513.0
Clay,2006,3.0,9695.0
Clay,2007,2.0,9696.0
Clay,2008,1.0,9603.0
Clay,2009,4.0,9505.0
Clay,2010,1.0,9386.0
Clay,2011,3.0,9357.0
Clay,2012,3.0,9297.0
Clay,2013,1.0,9244.0
Clay,2014,1.0,8941.0
Doddridge,2006,1.0,7848.0
Doddridge,2007,0.0,7970.0
Doddridge,2008,1.0,8034.0
Doddridge,2009,1.0,8124.0
Doddridge,2010,1.0,8202.0
